ticketId,expected,actual,priority,confidence,text
fd4eeee6-b272-448a-85e4-28a9be564379,network,network,high,0.95,"Wifi keeps dropping every ten minutes in the north wing of Salford Civic Centre; whole team affected"
72cba655-5fc8-45dd-aaca-4fc9f4f8c6aa,network,network,high,0.95,"Cannot connect to the VPN from home since this morning; it just times out"
e8d49382-8da7-4497-80af-eb5670e6bcca,network,network,medium,0.95,"The printer on floor 2 shows offline on every machine even though it's switched on"
d1ddc328-a0a7-41f0-8271-93960d0e7d82,network,network,medium,0.85,"Shared drive is taking about 40 seconds to open any folder; was fine on Friday"
dfe7ec2e-97d2-43e3-984d-60edbffaf8fe,network,network,high,0.95,"Desk phone has no dial tone; nobody on our row can make calls"
08f1004b-9492-4294-8781-fd46803bbd8d,software,software,high,0.95,"Outlook won't open; it just hangs on the loading screen and then closes"
7e6eeaef-ba00-47cd-a820-aa36d43129e6,software,software,high,0.95,"Getting an error message when I try to save in Excel; says the file is locked for editing"
9a5ab245-2869-472a-ab97-b67c5f4a1055,software,software,high,0.95,"My Teams licence seems to have expired; it's asking me to sign in again and won't accept my password"
9f508fb0-d1b7-4a8f-8478-3c8098bfca96,software,software,high,0.95,"Mosaic crashes every time I try to attach a document to a case record"
319e8b0e-e63c-4357-a39d-83ce51952ba3,software,software,medium,0.85,"Browser says my session has expired every few minutes on the finance system"
bcc4d535-81aa-4a5e-855d-720c822eb53b,software,software,high,0.7,"Nothing is working this morning; can't get into anything"
cf4a2b31-6560-4546-ac78-a6e5dc33a784,software,network,high,0.85,"Everything is really slow; it's been like this since we came back from the bank holiday"
580618a3-d83d-4654-98ea-2af6754b00d6,network,software,high,0.85,"Been trying since 8am and it still won't let me in"
b7a03b4a-b622-4429-9157-e32f6eb3c796,software,software,medium,0.85,"It says access denied but I've not changed anything"
77ae892b-c39c-4f53-bfa0-60b654c55d72,network,software,high,0.7,"Screen just froze and now it won't do anything at all"
b261e88f-332f-4cdd-8b18-d708501bb8b4,network,network,high,0.6,"Can't reach the case management system; page just spins and then times out"
fe69c212-006e-4e1d-bb10-2e529bc03359,software,software,high,0.85,"Getting a connection error in the payments application when I try to submit"
d63217a4-df6b-40a3-9037-d39d462ffb1f,network,network,high,0.85,"Documents won't sync to SharePoint; says server not reachable"
fc5f9a90-1e06-4233-891f-25922f5337c7,software,software,high,0.85,"Login page for the portal won't load at all"
c4fc1c74-8e92-42fc-b65d-5a264ded80e9,network,network,high,0.85,"Scanner won't send to email; says it can't find the server"
0760bbf0-d157-483e-8e33-3f246c84a840,software,software,high,0.95,"Password reset email never arrived and now I'm locked out"
694d8ba6-b5b3-4ef2-861c-0218d6fdc7e4,network,network,high,0.85,"Remote desktop keeps disconnecting me mid-call"
2fa12306-8f95-44ae-bcd3-9cef1fff284c,software,software,medium,0.85,"Can't open PDFs from the shared inbox; they download but won't open"
88e9250e-3402-4931-90af-443c0089634f,network,network,medium,0.75,"Video calls keep breaking up; audio drops out completely for a few seconds"
2d0a2010-c7b2-468c-905e-fd4dda491c0e,software,software,low,0.7,"Two of us are seeing different figures in the same report"
b5a996b1-411b-463d-a92c-b73248f76fc6,software,software,medium,0.75,"Excel broken"
27edb756-d3f6-4628-970b-9dc23799d452,network,network,high,0.95,"No internet"
4c3cc030-e0ed-4b02-bd14-9fbb44051fd4,software,software,high,0.85,"Can't log in"
c6147b17-c89a-4cdd-b96f-5857618e2359,network,network,medium,0.7,"Printer"
c5a1ee3f-9091-4a73-91f2-730b3c056db4,software,software,high,0.6,"Please help urgently; deadline today and I cannot get the report out"
