ticketId,expected,actual,priority,confidence,text
cbbac173-973a-4b94-b363-75d4910ae6bf,network,network,high,0.95,"Wifi keeps dropping every ten minutes in the north wing of Salford Civic Centre; whole team affected"
2f4966ef-0d06-4f8b-8d97-3fbd91ee6eca,network,network,high,0.95,"Cannot connect to the VPN from home since this morning; it just times out"
ccdcd660-f77d-4cd8-b0ab-56ed929f88f6,network,network,high,0.9,"The printer on floor 2 shows offline on every machine even though it's switched on"
83057f35-3c6f-40cd-921a-6d118bf9117e,network,network,medium,0.85,"Shared drive is taking about 40 seconds to open any folder; was fine on Friday"
da808ffd-6635-4b33-8304-7833dda28a7b,network,network,high,0.9,"Desk phone has no dial tone; nobody on our row can make calls"
fdc4d451-f3ef-4704-aef2-77ba8a08a294,software,software,medium,0.85,"Outlook won't open; it just hangs on the loading screen and then closes"
4d8ca1ee-4024-4748-9f18-812bc27a78c8,software,software,medium,0.95,"Getting an error message when I try to save in Excel; says the file is locked for editing"
a0ed12e1-0d6a-428d-8c55-3c7167bd1627,software,software,medium,0.85,"My Teams licence seems to have expired; it's asking me to sign in again and won't accept my password"
9ed9e092-01b6-4888-b662-3d6cd965389b,software,software,medium,0.9,"Mosaic crashes every time I try to attach a document to a case record"
93141a30-2f1f-472b-a6e3-8b6bf7d02f27,software,software,medium,0.85,"Browser says my session has expired every few minutes on the finance system"
f2ddf7bd-5fcf-4312-8106-62e05130bccd,software,software,high,0.6,"Nothing is working this morning; can't get into anything"
d29ba5e9-b262-41b0-8136-7ac66b5a2170,software,network,high,0.75,"Everything is really slow; it's been like this since we came back from the bank holiday"
b13ff565-a1e6-4d8d-a5b2-5a46317098b4,network,software,medium,0.75,"Been trying since 8am and it still won't let me in"
ffcacc1b-fedd-47ef-9d19-db1eba0ecc45,software,software,medium,0.75,"It says access denied but I've not changed anything"
42603828-989b-45de-8603-4821e70a43ef,network,software,high,0.75,"Screen just froze and now it won't do anything at all"
5b5d8219-b917-4ce3-bae1-74863670dae4,network,network,high,0.75,"Can't reach the case management system; page just spins and then times out"
6db8de91-6b5c-4df7-b8ee-30d381c3ead4,software,software,medium,0.85,"Getting a connection error in the payments application when I try to submit"
d36ac7ad-fd6a-41ce-a3dc-00fd75661375,network,network,high,0.85,"Documents won't sync to SharePoint; says server not reachable"
42a06d98-c298-4e02-9226-7f9cb8478125,software,network,high,0.75,"Login page for the portal won't load at all"
374987ed-2e20-4441-938f-de1149125636,network,network,high,0.85,"Scanner won't send to email; says it can't find the server"
f77a3183-c63f-415d-8fcc-0912064222ae,software,software,medium,0.85,"Password reset email never arrived and now I'm locked out"
d4c3eeb7-341a-4e95-b010-ab3a664b9652,network,network,high,0.85,"Remote desktop keeps disconnecting me mid-call"
f440e456-9fdf-440a-ac1b-b4fb0fae60e9,software,software,medium,0.85,"Can't open PDFs from the shared inbox; they download but won't open"
57bf6ce4-e343-400c-a6df-924f46f43e38,network,network,medium,0.75,"Video calls keep breaking up; audio drops out completely for a few seconds"
1d0680dc-4791-4572-a78c-fc8a2798d2a3,software,software,medium,0.75,"Two of us are seeing different figures in the same report"
b8af4026-e0ca-45e3-b931-5494f64eb417,software,software,medium,0.75,"Excel broken"
52ec9169-264e-4731-a8d0-8cc8843ffbf3,network,network,high,0.95,"No internet"
aab869b8-ebcd-4aa8-980a-d3a48204365f,software,software,high,0.85,"Can't log in"
86e38788-5c5e-4048-9141-5760d47367ab,network,network,medium,0.75,"Printer"
e4e49d70-53f0-4e27-b809-f6f02c2e29a9,software,software,medium,0.6,"Please help urgently; deadline today and I cannot get the report out"
