ticketId,expected,actual,priority,confidence,text
976d675f-f59d-4072-8d72-4d6cd4cda23b,network,network,high,0.95,"Wifi keeps dropping every ten minutes in the north wing of Salford Civic Centre; whole team affected"
02ff429c-f26e-47e9-af53-efaeaa8ef93f,network,network,high,0.95,"Cannot connect to the VPN from home since this morning; it just times out"
8c720b95-a020-493e-bb86-c66cd93faf0e,network,network,high,0.9,"The printer on floor 2 shows offline on every machine even though it's switched on"
e11ea5db-c1f1-4f31-9ebd-3eec46f5c349,network,network,medium,0.85,"Shared drive is taking about 40 seconds to open any folder; was fine on Friday"
5728a032-edb3-4db9-b8d7-6dc900b55b30,network,network,high,0.9,"Desk phone has no dial tone; nobody on our row can make calls"
610fc5d5-1716-4f3e-bba1-842bed3649b4,software,software,medium,0.85,"Outlook won't open; it just hangs on the loading screen and then closes"
25cc1084-5182-4512-84ed-ecf110194911,software,software,medium,0.95,"Getting an error message when I try to save in Excel; says the file is locked for editing"
ca46f645-71c8-4e54-838e-0f8b510d6c95,software,software,medium,0.85,"My Teams licence seems to have expired; it's asking me to sign in again and won't accept my password"
46b288f6-7ffe-4af5-bc95-9760d9fcf8e3,software,software,medium,0.9,"Mosaic crashes every time I try to attach a document to a case record"
139b1db1-8e19-46ce-b8e4-b032c7ca8249,software,software,medium,0.85,"Browser says my session has expired every few minutes on the finance system"
adb45c0d-c72a-46e6-9ab0-d36ad1e5612c,network,software,high,0.6,"Nothing is working this morning; can't get into anything"
7412b2e3-1a1b-4347-8497-1b787fe98c99,network,network,high,0.75,"Everything is really slow; it's been like this since we came back from the bank holiday"
9a078c49-15b6-472d-abcc-ad1502d2b356,software,software,medium,0.75,"Been trying since 8am and it still won't let me in"
fed93060-447f-4c39-893d-fc085ce5cfa2,software,software,medium,0.75,"It says access denied but I've not changed anything"
87758d7d-7040-46e3-b7eb-a940aa57fce8,software,software,high,0.75,"Screen just froze and now it won't do anything at all"
4fc6e31f-058d-4239-a4c8-21c714cba158,network,network,high,0.75,"Can't reach the case management system; page just spins and then times out"
7210f18f-472e-4475-82d0-8a9e2eb9982e,software,software,medium,0.85,"Getting a connection error in the payments application when I try to submit"
447a7c02-2a59-4821-abfe-538be69ca20b,network,network,high,0.85,"Documents won't sync to SharePoint; says server not reachable"
22cba11e-6f9c-4cd8-9f2d-07bc657e0f89,network,network,high,0.75,"Login page for the portal won't load at all"
d4bf51bc-968b-4e5f-844e-b2e11aac9a56,network,network,high,0.85,"Scanner won't send to email; says it can't find the server"
668115b7-c719-412d-9b20-9c2e3723264b,software,software,medium,0.85,"Password reset email never arrived and now I'm locked out"
401ae41c-452d-41af-9cc6-240e4821a471,network,network,high,0.85,"Remote desktop keeps disconnecting me mid-call"
143533a7-c6d2-4483-9c1a-73d8bdbd53d4,software,software,medium,0.85,"Can't open PDFs from the shared inbox; they download but won't open"
fc07c4ab-d810-4d52-aa9b-413b8e2bb9e5,network,network,medium,0.75,"Video calls keep breaking up; audio drops out completely for a few seconds"
e13bc464-cdc1-4342-9785-9c7a3720ee1c,software,software,medium,0.75,"Two of us are seeing different figures in the same report"
4ca32690-22b7-46cc-a998-bca25609ff85,software,software,medium,0.75,"Excel broken"
459e9c2f-61bd-4685-ba6a-8545ac7190a4,network,network,high,0.95,"No internet"
7441c06b-a8f1-4c0d-94cb-45ce6d5b3e4f,software,software,high,0.85,"Can't log in"
0cd5c033-7fbc-4e3c-ad0a-385bc3aa8808,network,network,medium,0.75,"Printer"
cae28eff-7367-4086-b0ce-20fcc79b4bf8,software,software,medium,0.6,"Please help urgently; deadline today and I cannot get the report out"
